,council_name,number,person_name
14754,平成11年 第5回定例会（第2日12月9日）,12,岩為俊
14755,平成11年 第5回定例会（第2日12月9日）,13,藤田頼夫
14756,平成11年 第5回定例会（第2日12月9日）,14,稲垣芳広
14757,平成11年 第5回定例会（第2日12月9日）,15,筒井俊雄
14758,平成11年 第5回定例会（第2日12月9日）,16,岡本茂
14759,平成11年 第5回定例会（第2日12月9日）,17,堀田和喜
14760,平成11年 第5回定例会（第2日12月9日）,18,松雪芳信
14761,平成11年 第5回定例会（第2日12月9日）,19,森清
14762,平成11年 第5回定例会（第2日12月9日）,20,二木洋子
14763,平成11年 第5回定例会（第2日12月9日）,21,池下節夫
14764,平成11年 第5回定例会（第2日12月9日）,22,須磨章
14765,平成11年 第5回定例会（第2日12月9日）,23,小野貞雄
14766,平成11年 第5回定例会（第2日12月9日）,24,川口雅夫
14767,平成11年 第5回定例会（第2日12月9日）,25,源久忠仁
14768,平成11年 第5回定例会（第2日12月9日）,26,福井浩二
14769,平成11年 第5回定例会（第2日12月9日）,27,石橋守
14770,平成11年 第5回定例会（第2日12月9日）,28,根来勝利
14771,平成11年 第5回定例会（第2日12月9日）,29,大川肇
14772,平成11年 第5回定例会（第2日12月9日）,30,岡本嗣郎
14773,平成11年 第5回定例会（第2日12月9日）,31,高須賀嘉章
14774,平成11年 第5回定例会（第2日12月9日）,32,新家末吉
14775,平成11年 第5回定例会（第2日12月9日）,33,久保隆夫
14776,平成11年 第5回定例会（第2日12月9日）,34,段野啓三
14777,平成11年 第5回定例会（第2日12月9日）,36,鳥本高男
14778,平成11年 第5回定例会（第3日12月20日）,1,三本登
14779,平成11年 第5回定例会（第3日12月20日）,2,角芳春
14780,平成11年 第5回定例会（第3日12月20日）,3,小西弘泰
14781,平成11年 第5回定例会（第3日12月20日）,4,吉田康人
14782,平成11年 第5回定例会（第3日12月20日）,5,林啓二
14783,平成11年 第5回定例会（第3日12月20日）,6,中浜実
14784,平成11年 第5回定例会（第3日12月20日）,7,久保隆
14785,平成11年 第5回定例会（第3日12月20日）,8,安好一弘
14786,平成11年 第5回定例会（第3日12月20日）,9,中村玲子
14787,平成11年 第5回定例会（第3日12月20日）,10,橋本恵美子
14788,平成11年 第5回定例会（第3日12月20日）,11,市田忠夫
14789,平成11年 第5回定例会（第3日12月20日）,12,岩為俊
14790,平成11年 第5回定例会（第3日12月20日）,13,藤田頼夫
14791,平成11年 第5回定例会（第3日12月20日）,14,稲垣芳広
14792,平成11年 第5回定例会（第3日12月20日）,15,筒井俊雄
14793,平成11年 第5回定例会（第3日12月20日）,16,岡本茂
14794,平成11年 第5回定例会（第3日12月20日）,17,堀田和喜
14795,平成11年 第5回定例会（第3日12月20日）,18,松雪芳信
14796,平成11年 第5回定例会（第3日12月20日）,19,森清
14797,平成11年 第5回定例会（第3日12月20日）,20,二木洋子
14798,平成11年 第5回定例会（第3日12月20日）,21,池下節夫
14799,平成11年 第5回定例会（第3日12月20日）,22,須磨章
14800,平成11年 第5回定例会（第3日12月20日）,23,小野貞雄
14801,平成11年 第5回定例会（第3日12月20日）,24,川口雅夫
14802,平成11年 第5回定例会（第3日12月20日）,25,源久忠仁
14803,平成11年 第5回定例会（第3日12月20日）,26,福井浩二
14804,平成11年 第5回定例会（第3日12月20日）,27,石橋守
14805,平成11年 第5回定例会（第3日12月20日）,28,根来勝利
14806,平成11年 第5回定例会（第3日12月20日）,29,大川肇
14807,平成11年 第5回定例会（第3日12月20日）,30,岡本嗣郎
14808,平成11年 第5回定例会（第3日12月20日）,31,高須賀嘉章
14809,平成11年 第5回定例会（第3日12月20日）,32,新家末吉
14810,平成11年 第5回定例会（第3日12月20日）,33,久保隆夫
14811,平成11年 第5回定例会（第3日12月20日）,34,段野啓三
14812,平成11年 第5回定例会（第3日12月20日）,36,鳥本高男
14813,平成11年 第5回定例会（第4日12月21日）,1,三本登
14814,平成11年 第5回定例会（第4日12月21日）,2,角芳春
14815,平成11年 第5回定例会（第4日12月21日）,3,小西弘泰
14816,平成11年 第5回定例会（第4日12月21日）,4,吉田康人
14817,平成11年 第5回定例会（第4日12月21日）,5,林啓二
14818,平成11年 第5回定例会（第4日12月21日）,6,中浜実
14819,平成11年 第5回定例会（第4日12月21日）,7,久保隆
14820,平成11年 第5回定例会（第4日12月21日）,8,安好一弘
14821,平成11年 第5回定例会（第4日12月21日）,9,中村玲子
14822,平成11年 第5回定例会（第4日12月21日）,10,橋本恵美子
14823,平成11年 第5回定例会（第4日12月21日）,11,市田忠夫
14824,平成11年 第5回定例会（第4日12月21日）,12,岩為俊
14825,平成11年 第5回定例会（第4日12月21日）,13,藤田頼夫
14826,平成11年 第5回定例会（第4日12月21日）,14,稲垣芳広
14827,平成11年 第5回定例会（第4日12月21日）,15,筒井俊雄
14828,平成11年 第5回定例会（第4日12月21日）,16,岡本茂
14829,平成11年 第5回定例会（第4日12月21日）,17,堀田和喜
14830,平成11年 第5回定例会（第4日12月21日）,18,松雪芳信
